learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.2,3,0.6,300,5,1.652956049,0.98466023,4.311107679,,2.829895888,0.934586909
0.2,5,0.6,200,3,0.780664115,0.996575804,3.594906285,,2.830522729,0.934557927
0.2,8,0.7,100,1,0.349344089,0.99931301,3.843595736,,2.832835774,0.934450927
0.1,7,0.8,100,1,1.523291938,0.986975552,4.317465301,,2.833822707,0.934405246
0.1,7,0.7,400,5,0.605804962,0.997939553,3.729807406,,2.833863927,0.934403338
0.1,5,0.9,300,1,0.526967242,0.998440167,3.641939695,,2.834701521,0.934364555
0.1,5,0.9,400,5,0.983437749,0.994569785,3.802163151,,2.835402698,0.934332081
0.3,3,0.7,300,10,1.547372907,0.986558915,4.178108334,,2.835646212,0.934320801
0.4,7,0.8,200,10,0.475819992,0.998723319,3.702181893,,2.836478116,0.934282258
0.3,3,0.6,400,1,0.591866262,0.998024903,3.452201596,,2.83687202,0.934264004
0.4,7,0.7,300,3,0.114919954,0.999924571,3.754580687,,2.837289993,0.934244632
0.1,8,0.6,200,3,0.872652668,0.995721114,3.899099148,,2.839298276,0.934151514
0.2,3,0.8,400,10,1.725833995,0.983290408,4.344377219,,2.839374722,0.934147968
0.4,7,0.7,400,3,0.112687822,0.999926917,3.754174459,,2.839668364,0.934134347
0.3,3,0.6,300,1,0.75406486,0.996799261,3.547377068,,2.841775757,0.934036549
0.2,3,0.8,300,1,0.969851977,0.994716403,3.748959732,,2.845874967,0.93384611
0.4,7,0.6,300,3,0.116433223,0.99992274,3.80269995,,2.846608965,0.933811981
0.4,7,0.6,400,3,0.112924009,0.999926691,3.804734807,,2.846974427,0.933794985
0.4,8,0.7,200,10,0.374940287,0.999207708,3.623339443,,2.847234821,0.933782874
0.2,8,0.7,200,1,0.123431677,0.999913379,3.771485516,,2.848070854,0.933743981
0.2,8,0.7,400,1,0.112393361,0.999927089,3.76939373,,2.850201,0.933644835
0.2,6,0.9,300,10,0.993856586,0.994438619,3.837492295,,2.85061514,0.933625551
0.2,8,0.7,300,1,0.113007773,0.999926541,3.76881311,,2.850618063,0.933625414
0.1,5,0.8,400,1,0.358253228,0.999276758,3.458576867,,2.851502373,0.933584227
0.2,8,0.6,100,3,0.887962366,0.9955681,3.901198562,,2.851600571,0.933579653
0.4,7,0.6,200,3,0.146805618,0.999878297,3.797490347,,2.851613348,0.933579057
0.2,3,0.6,400,5,1.306618959,0.990410986,4.100634776,,2.851940922,0.933563796
0.2,3,0.6,200,5,2.219662425,0.972349732,4.594003636,,2.851951815,0.933563289
0.2,8,0.9,300,3,0.130329309,0.999903861,3.590209387,,2.852243966,0.933549677
