learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2
0.2,8,0.6,200,5,1,0.308291136,0.999463059,3.473790276,,2.900314899,0.937174536
0.3,4,0.8,400,5,0.8,0.266442942,0.999598453,3.578072626,,2.902889787,0.937062934
0.3,6,0.9,300,10,0.6,0.440429487,0.998904547,3.517314191,,2.905113707,0.936966464
0.1,8,0.6,400,5,1,0.269822904,0.99958819,3.454545038,,2.907332845,0.936870128
0.4,3,0.9,400,3,1,0.205475965,0.999760943,3.571337786,,2.908644506,0.936813152
0.3,8,0.6,200,5,1,0.158959329,0.999857166,3.590726075,,2.909014658,0.936797069
0.3,7,0.9,300,10,0.8,0.189632565,0.999796761,3.542921345,,2.911250543,0.936699875
0.3,8,0.6,100,5,1,0.508151449,0.998536637,3.553998604,,2.911695311,0.936680532
0.1,7,0.6,400,3,1,0.167191746,0.999842008,3.647312923,,2.911708266,0.936679969
0.2,6,0.6,300,10,0.8,0.865160927,0.995772813,3.307981164,,2.912580521,0.936642026
0.4,7,0.8,200,10,0.6,0.700713952,0.997223639,3.465824883,,2.913268859,0.936612075
0.1,5,0.8,400,3,1,0.190524884,0.999794857,3.537117571,,2.915660275,0.936507966
0.3,7,0.8,400,10,0.6,0.402228819,0.999085609,3.337238537,,2.91574561,0.936504249
0.4,8,0.7,200,3,0.8,0.127759257,0.999907303,3.763061316,,2.916054438,0.936490798
0.3,8,0.6,400,5,1,0.114182479,0.99992456,3.648703495,,2.917779929,0.936415616
0.1,6,0.8,400,1,1,0.113050899,0.999925897,3.667283136,,2.918837024,0.936369535
0.3,8,0.8,300,10,0.8,0.244512942,0.999661944,3.501321762,,2.919680733,0.936332745
0.1,6,0.8,200,1,1,0.151838844,0.999869499,3.6700064,,2.919739914,0.936330164
0.1,6,0.8,300,1,1,0.115386078,0.999923358,3.661978853,,2.920477299,0.936298
0.4,5,0.8,400,10,0.8,0.199468165,0.999775044,3.394426424,,2.922125497,0.936226078
0.4,8,0.7,400,5,1,0.113853034,0.999924738,3.757233479,,2.922659739,0.936202756
0.3,8,0.6,300,5,1,0.117434156,0.999921064,3.625497951,,2.922823074,0.936195626
0.4,8,0.7,400,3,0.8,0.114088292,0.999924474,3.778184712,,2.92318209,0.93617995
0.3,7,0.6,400,5,0.8,0.176247512,0.999823421,3.628297944,,2.923268242,0.936176188
0.3,4,0.9,300,5,0.6,0.499294653,0.998588506,3.703962518,,2.923475174,0.936167152
0.4,8,0.7,300,3,0.8,0.114060925,0.999924821,3.76760388,,2.923953626,0.936146257
0.3,5,0.9,100,1,0.8,0.284133703,0.999539014,3.696366447,,2.925156532,0.936093707
0.4,8,0.7,300,5,1,0.112754642,0.999926209,3.748034821,,2.92533212,0.936086035
0.4,8,0.7,200,5,1,0.113896079,0.999925274,3.749530353,,2.925586296,0.936074928
0.4,6,0.6,400,10,0.8,0.325068565,0.999399571,3.502838199,,2.926082887,0.936053225
0.4,3,0.9,300,3,1,0.290628695,0.999521331,3.549312491,,2.926357815,0.936041207
0.3,5,0.8,400,10,0.6,0.525977505,0.998437708,3.326441637,,2.926627801,0.936029405
0.3,7,0.6,300,5,0.8,0.266298816,0.999596848,3.616737557,,2.927084115,0.936009455
0.4,8,0.7,100,3,0.8,0.382397723,0.99916984,3.727506199,,2.928139819,0.935963288
0.4,6,0.8,200,1,1,0.112835821,0.999926058,4.235931196,,2.928658502,0.9359406
0.4,6,0.8,400,1,1,0.114333377,0.999924084,4.254250853,,2.928845946,0.9359324
0.4,7,0.6,400,5,1,0.114151639,0.999924399,3.603713629,,2.929135654,0.935919724
0.4,6,0.8,300,1,1,0.114469526,0.999923898,4.229498535,,2.929227774,0.935915694
0.3,4,0.9,400,5,0.6,0.376871616,0.999196385,3.699434496,,2.929573471,0.935900567
0.4,5,0.9,200,3,0.8,0.145737914,0.999879412,3.661596832,,2.930134923,0.935875995
0.2,6,0.9,400,5,0.8,0.137321199,0.999892976,3.638432137,,2.93031185,0.935868251
0.2,6,0.9,400,10,1,0.134874122,0.99989683,3.55981733,,2.930664814,0.9358528
0.2,8,0.8,400,1,0.8,0.112781915,0.999926152,4.01705494,,2.930686512,0.935851851
0.2,8,0.8,200,1,0.8,0.11517628,0.99992372,4.002787118,,2.930877564,0.935843487
0.4,6,0.8,100,1,1,0.117402313,0.999920063,4.242442713,,2.931215452,0.935828693
0.1,7,0.6,400,5,1,0.303386014,0.999479225,3.445895818,,2.931920061,0.935797838
0.2,8,0.8,300,1,0.8,0.113197634,0.999925629,4.005267639,,2.932188191,0.935786095
0.1,8,0.8,400,10,0.8,0.716536569,0.997100861,3.494050368,,2.933287435,0.93573794
0.4,6,0.6,300,10,0.8,0.48122092,0.998687693,3.469504898,,2.933573692,0.935725397
0.3,8,0.9,400,10,0.8,0.128008037,0.999906853,3.587182993,,2.933959519,0.935708489
0.1,8,0.8,400,3,1,0.113632314,0.999925545,3.838930983,,2.934193368,0.93569824
0.4,6,0.7,100,3,0.6,0.768718718,0.996656911,3.707667899,,2.93455738,0.935682284
0.4,7,0.6,300,5,1,0.11431306,0.999924575,3.588778122,,2.93617308,0.935611441
0.3,4,0.8,300,5,0.8,0.372015658,0.999217782,3.570814054,,2.936299949,0.935605877
0.3,7,0.9,300,10,1,0.114444361,0.999924658,3.596473083,,2.937604544,0.935548643
0.3,7,0.9,400,10,1,0.112575417,0.999926552,3.597715194,,2.938232017,0.935521107
0.2,6,0.9,300,10,1,0.196498198,0.999781622,3.553228949,,2.939431753,0.93546844
0.3,5,0.6,300,5,1,0.174068839,0.999828388,3.49514169,,2.939859729,0.935449647
0.4,5,0.9,400,3,0.8,0.113444579,0.99992543,3.699800174,,2.940056215,0.935441019
0.1,7,0.8,400,10,0.8,0.749910905,0.99682425,3.474635609,,2.940827257,0.935407152
0.4,5,0.9,100,3,0.8,0.384906149,0.999158957,3.608563175,,2.940924189,0.935402894
0.4,5,0.9,300,3,0.8,0.116275751,0.999922048,3.693551073,,2.94106727,0.935396609
0.1,7,0.8,400,3,1,0.116054987,0.999922636,3.788664293,,2.941123462,0.93539414
0.3,5,0.9,200,1,0.8,0.123395304,0.999912717,3.706117547,,2.94223696,0.935345212
0.4,7,0.6,200,5,1,0.130508887,0.99990334,3.588738713,,2.942937228,0.935314432
0.1,8,0.8,300,3,1,0.123168493,0.99991371,3.836554939,,2.943487398,0.935290244
0.2,7,0.6,200,3,0.8,0.507664045,0.998543947,3.590604854,,2.944019172,0.935266861
0.4,7,0.9,100,3,1,0.114051926,0.999924896,3.745475701,,2.944374987,0.935251213
0.4,5,0.9,100,5,0.8,0.593303572,0.998004554,3.547080372,,2.944854498,0.935230121
0.3,5,0.9,400,1,0.8,0.112686181,0.999926302,3.730488167,,2.94594161,0.935182292
0.1,7,0.8,200,3,1,0.289608911,0.999525038,3.794511054,,2.946080268,0.93517619
0.3,6,0.6,100,5,1,0.633481852,0.997725518,3.498125278,,2.946457991,0.935159567
0.3,8,0.9,300,10,0.8,0.173775215,0.999829309,3.584017705,,2.947142352,0.935129443
0.1,7,0.8,300,3,1,0.139028905,0.999890388,3.787306261,,2.947162793,0.935128543
0.4,6,0.8,400,3,0.6,0.119986111,0.999917554,3.879784393,,2.947628218,0.935108052
0.3,5,0.9,200,10,0.8,0.631440909,0.997749189,3.455721554,,2.947768814,0.935101861
0.3,7,0.9,200,10,0.8,0.400156425,0.999095981,3.553361022,,2.948689215,0.935061328
0.3,5,0.9,300,1,0.8,0.113633356,0.999925126,3.724039621,,2.948714232,0.935060226
0.2,6,0.9,300,5,0.8,0.188291323,0.999799587,3.61504326,,2.948763531,0.935058055
0.4,7,0.9,200,3,1,0.112405682,0.999926649,3.746593143,,2.948831202,0.935055074
0.3,4,0.8,200,5,0.8,0.652754118,0.99759331,3.572492227,,2.949615712,0.935020513
0.3,5,0.6,400,5,1,0.131297966,0.99990196,3.540904361,,2.949857906,0.935009842
0.4,7,0.9,300,3,1,0.112853518,0.999926057,3.748756816,,2.950186595,0.934995358
