learning_rate,depth,subsample,iterations,l2_leaf_reg,CV-10-train-RMSE,CV-10-train-R2,CV-10-validation-RMSE,CV-10-validation-R2,test-RMSE,test-R2
0.3,8,0.9,200,3,0.095368846,0.999936724,5.940019186,0.760971469,2.751255083,0.938171961
0.2,5,0.8,200,3,0.601383497,0.997943845,6.000428312,0.762854731,2.753200575,0.938084489
0.1,7,0.6,200,5,1.483494528,0.98748919,6.143975827,0.745358967,2.754422118,0.938029535
0.3,7,0.9,200,10,0.728007099,0.996995746,6.040042455,0.756119204,2.758557511,0.937843315
0.1,8,0.6,200,5,1.23053435,0.991436621,6.21423473,0.742631755,2.759045072,0.937821342
0.2,7,0.8,300,3,0.120770603,0.999912954,6.093787118,0.754764233,2.759093523,0.937819158
0.1,7,0.6,300,3,0.525382541,0.998428799,5.633629744,0.786778163,2.759201955,0.93781427
0.1,8,0.6,300,1,0.13955663,0.999887017,5.797389491,0.777836758,2.759853893,0.937784881
0.2,7,0.8,400,3,0.090379635,0.999941124,6.090291754,0.755144631,2.760855057,0.937739734
0.4,7,0.6,200,5,0.157228676,0.999853874,5.752840046,0.774273481,2.760896665,0.937737857
0.2,7,0.9,100,5,1.640130699,0.984729224,6.366179987,0.73460975,2.76190985,0.937692152
0.2,3,0.9,200,1,1.132677953,0.992682349,6.279400943,0.73665679,2.763445372,0.93762285
0.1,5,0.8,200,3,1.5380892,0.986658395,6.158216318,0.747914256,2.763831632,0.937605412
0.2,8,0.6,200,3,0.21387901,0.999734959,5.989276164,0.755508105,2.76421666,0.937588026
0.3,7,0.7,200,3,0.136455647,0.999892062,5.966991257,0.763895215,2.764653353,0.937568305
0.1,8,0.6,400,1,0.099051313,0.999935696,5.793869744,0.777917119,2.766244103,0.937496439
0.2,7,0.6,300,10,0.649989299,0.997579795,5.798828054,0.773707618,2.766403793,0.937489223
0.4,7,0.6,300,5,0.092298452,0.999939484,5.75352148,0.77413314,2.767266949,0.937450208
0.2,3,0.9,100,1,2.11295697,0.97474466,6.602619504,0.708263012,2.769388857,0.937354246
0.2,8,0.6,300,3,0.113067196,0.999921973,5.977587168,0.755980495,2.7703022,0.937312919
0.2,5,0.6,200,5,0.98068478,0.994523804,5.827172535,0.776326454,2.770445662,0.937306426
0.3,7,0.7,300,3,0.090392948,0.99994123,5.965244629,0.764059759,2.771014649,0.937280671
0.3,7,0.7,400,3,0.080805045,0.999944676,5.965204505,0.764103816,2.771136757,0.937275144
0.2,8,0.6,400,3,0.089298162,0.999941804,5.97579927,0.75602821,2.772499071,0.937213456
0.1,5,0.9,300,3,0.925665447,0.995147112,6.065575662,0.754983749,2.772920134,0.937194384
0.1,8,0.8,300,3,0.374014655,0.99920804,5.866340653,0.764631779,2.77292603,0.937194117
0.4,7,0.6,400,5,0.081680881,0.999944349,5.755173664,0.773940389,2.773449674,0.937170394
0.3,8,0.9,100,3,0.37241325,0.999216513,5.978349306,0.758963378,2.774275643,0.937132965
0.2,3,0.9,200,3,1.612841164,0.985271361,6.459647166,0.719914186,2.776472278,0.937033371
0.1,5,0.8,300,5,1.387580318,0.989109597,6.199231288,0.743105785,2.77710718,0.937004571
0.4,7,0.7,100,5,0.517900218,0.998475,6.189886103,0.742708531,2.779494154,0.936896233
