learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.3,8,0.6,100,10,0.6,0.804875626,0.929542755,1.902713389,,0.18800431,0.9758689,
0.3,4,0.6,100,10,0.6,0.809137705,0.92879627,1.908483283,,0.18803441,0.975861172,
0.3,5,0.6,100,10,0.6,0.805381895,0.929452299,1.900163413,,0.188857752,0.975649317,
0.3,3,0.6,100,10,0.6,0.818818355,0.927123319,1.888424271,,0.190777393,0.975151777,
0.1,5,0.7,200,5,0.6,0.595089634,0.961453473,2.019087011,,0.191500208,0.974963131,
0.2,4,0.6,100,3,0.6,0.434635933,0.979262003,1.980304225,,0.193216396,0.974512369,
0.1,4,0.7,300,10,0.6,0.734596522,0.941523421,1.952602507,,0.194731728,0.974111019,
0.1,8,0.7,300,10,0.6,0.732204028,0.941896,1.956133858,,0.195403586,0.973932068,
0.1,7,0.7,300,10,0.6,0.732204864,0.941895883,1.956133799,,0.195432363,0.97392439,
0.1,6,0.7,300,10,0.6,0.732253811,0.941889315,1.955836729,,0.195591492,0.973881909,
0.1,3,0.7,300,10,0.6,0.7628409,0.936930899,1.899249772,,0.196000168,0.973772651,
0.1,5,0.7,300,10,0.6,0.732467403,0.941848176,1.958112137,,0.196214182,0.973715344,
0.3,4,0.7,100,10,0.8,0.542714188,0.968032646,2.140696997,,0.196359369,0.973676431,
0.1,6,0.7,200,5,0.6,0.594471166,0.961535072,2.02170133,,0.196696961,0.973585839,
0.1,7,0.7,200,5,0.6,0.594465989,0.961535719,2.021738553,,0.196878502,0.973537059,
0.1,8,0.7,200,5,0.6,0.594465989,0.961535719,2.021738553,,0.196878502,0.973537059,
0.2,3,0.7,300,10,0.8,0.249131807,0.993201426,2.186948443,,0.198359829,0.973137343,
0.1,4,0.8,400,10,0.6,0.419437603,0.980867474,2.141749496,,0.199676504,0.972779541,
0.1,4,0.8,300,10,0.6,0.587865785,0.962539655,2.038317158,,0.202600166,0.971976582,
0.3,5,0.7,300,10,0.8,0.079672065,0.999299071,2.362545865,,0.203127933,0.971830391,
0.1,5,0.7,200,10,0.6,0.960383135,0.90022847,1.870316988,,0.203188034,0.971813719,
0.1,5,0.8,400,10,0.6,0.414797575,0.981274739,2.163241291,,0.203602321,0.971698662,
0.1,6,0.7,200,10,0.6,0.960231581,0.900257097,1.870417944,,0.203665206,0.971681177,
0.1,7,0.7,200,10,0.6,0.96023339,0.900256758,1.870408616,,0.203665206,0.971681177,
