PI-content,CF-content,Sizing agent-content,GP-content,TS_pred,TC_pred,Pareto_optimal
0.76,0.15,0.03,0.09,66.468796,11.294035,FALSE
0.76,0.15,0.035,0.09,66.468796,11.294035,FALSE
0.76,0.15,0.04,0.09,64.62713,9.840667,FALSE
0.76,0.15,0.045,0.09,64.62713,9.840667,FALSE
0.76,0.15,0.05,0.09,64.367325,10.089971,FALSE
0.76,0.15,0.055,0.09,64.367325,10.089971,FALSE
0.76,0.2,0,0.04,59.694023,6.1961946,FALSE
0.76,0.2,0.005,0.04,59.694023,6.1961946,FALSE
0.76,0.2,0.01,0.04,67.95629,7.494686,FALSE
0.76,0.2,0.015,0.04,67.95629,7.494686,FALSE
0.76,0.2,0.02,0.04,71.66067,10.010398,FALSE
0.76,0.2,0.025,0.04,71.66067,10.010398,FALSE
0.76,0.2,0.03,0.04,67.34489,10.4626665,FALSE
0.76,0.2,0.035,0.04,67.34489,10.4626665,FALSE
0.76,0.2,0.04,0.04,66.20185,9.083206,FALSE
0.76,0.2,0.045,0.04,66.20185,9.083206,FALSE
0.76,0.2,0.05,0.04,65.99809,9.332509,FALSE
0.76,0.2,0.055,0.04,65.99809,9.332509,FALSE
0.78,0.02,0,0.2,50.589954,6.845687,FALSE
0.78,0.02,0.005,0.2,50.589954,6.845687,FALSE
0.78,0.02,0.01,0.2,60.624832,8.803981,FALSE
0.78,0.02,0.015,0.2,60.624832,8.803981,FALSE
0.78,0.02,0.02,0.2,62.76789,11.353997,FALSE
0.78,0.02,0.025,0.2,62.76789,11.353997,FALSE
0.78,0.02,0.03,0.2,60.267803,11.519589,FALSE
0.78,0.02,0.035,0.2,60.267803,11.519589,FALSE
0.78,0.02,0.04,0.2,59.10579,10.500101,FALSE
0.78,0.02,0.045,0.2,59.10579,10.500101,FALSE
0.78,0.02,0.05,0.2,58.713478,10.41749,FALSE
0.78,0.02,0.055,0.2,58.713478,10.41749,FALSE
0.78,0.07,0,0.15,43.537193,7.2500615,FALSE
0.78,0.07,0.005,0.15,43.537193,7.2500615,FALSE
0.78,0.07,0.01,0.15,55.85816,9.249508,FALSE
0.78,0.07,0.015,0.15,55.85816,9.249508,FALSE
0.78,0.07,0.02,0.15,58.56764,12.054051,FALSE
0.78,0.07,0.025,0.15,58.56764,12.054051,FALSE
0.78,0.07,0.03,0.15,55.89233,12.094439,FALSE
0.78,0.07,0.035,0.15,55.89233,12.094439,FALSE
0.78,0.07,0.04,0.15,53.73842,10.805224,FALSE
0.78,0.07,0.045,0.15,53.73842,10.805224,FALSE
0.78,0.07,0.05,0.15,52.664154,10.749348,FALSE
0.78,0.07,0.055,0.15,52.664154,10.749348,FALSE
0.78,0.08,0,0.14,54.65016,7.363678,FALSE
0.78,0.08,0.005,0.14,54.65016,7.363678,FALSE
0.78,0.08,0.01,0.14,64.03911,9.373308,FALSE
0.78,0.08,0.015,0.14,64.03911,9.373308,FALSE
0.78,0.08,0.02,0.14,67.709496,12.334492,FALSE
0.78,0.08,0.025,0.14,67.709496,12.334492,FALSE
0.78,0.08,0.03,0.14,64.77307,12.527808,FALSE
0.78,0.08,0.035,0.14,64.77307,12.527808,FALSE
0.78,0.08,0.04,0.14,61.40883,11.238593,FALSE
0.78,0.08,0.045,0.14,61.40883,11.238593,FALSE
0.78,0.08,0.05,0.14,59.769722,11.182716,FALSE
0.78,0.08,0.055,0.14,59.769722,11.182716,FALSE
0.78,0.09,0,0.13,57.72953,7.546938,FALSE
0.78,0.09,0.005,0.13,57.72953,7.546938,FALSE
0.78,0.09,0.01,0.13,67.83456,9.556569,FALSE
0.78,0.09,0.015,0.13,67.83456,9.556569,FALSE
0.78,0.09,0.03,0.13,68.76048,12.844965,FALSE
0.78,0.09,0.035,0.13,68.76048,12.844965,FALSE
0.78,0.09,0.04,0.13,65.119934,11.555749,FALSE
0.78,0.09,0.045,0.13,65.119934,11.555749,FALSE
0.78,0.09,0.05,0.13,63.407036,11.499873,FALSE
0.78,0.09,0.055,0.13,63.407036,11.499873,FALSE
0.78,0.1,0,0.12,58.8867,7.6504498,FALSE
0.78,0.1,0.005,0.12,58.8867,7.6504498,FALSE
0.78,0.1,0.01,0.12,67.580795,9.334299,FALSE
0.78,0.1,0.015,0.12,67.580795,9.334299,FALSE
0.78,0.1,0.03,0.12,67.36801,11.895447,FALSE
0.78,0.1,0.035,0.12,67.36801,11.895447,FALSE
0.78,0.1,0.04,0.12,64.818535,10.089187,FALSE
0.78,0.1,0.045,0.12,64.818535,10.089187,FALSE
0.78,0.1,0.05,0.12,63.044067,9.992249,FALSE
0.78,0.1,0.055,0.12,63.044067,9.992249,FALSE
0.78,0.11,0,0.11,58.8867,7.6504498,FALSE
0.78,0.11,0.005,0.11,58.8867,7.6504498,FALSE
0.78,0.11,0.01,0.11,67.580795,9.334299,FALSE
0.78,0.11,0.015,0.11,67.580795,9.334299,FALSE
0.78,0.11,0.03,0.11,67.36801,11.895447,FALSE
