learning_rate,max_depth,subsample,n_estimators,reg_lambda,colsample_bytree,LOO-train-RMSE,LOO-train-R2,LOO-val-RMSE,LOO-val-R2,test-RMSE,test-R2,
0.01,6,0.6,400,3,0.6,7.400126065,0.780016323,9.21894001,,3.259834015,0.933679842,
0.3,6,0.6,100,3,1,0.266598053,0.999699827,8.62562108,,3.263456795,0.933532352,
0.4,6,0.6,100,10,1,1.91101266,0.985261084,8.710728874,,3.266393486,0.933412674,
0.01,8,0.6,200,1,0.6,7.587541804,0.768303769,9.462381582,,3.269687311,0.933278313,
0.01,7,0.6,200,1,0.6,7.587547652,0.768303418,9.462387304,,3.26984071,0.933272052,
0.01,3,0.6,400,3,0.8,7.289846859,0.786704208,9.063426008,,3.270033926,0.933264166,
0.4,8,0.6,100,10,1,1.911193187,0.985259074,8.706852665,,3.277043673,0.932977745,
0.4,7,0.6,100,10,1,1.909403463,0.985290889,8.701791992,,3.27731887,0.932966488,
0.01,3,0.7,300,3,0.8,7.916480789,0.7485473,9.361578455,,3.277403043,0.932963045,
0.01,5,0.6,200,1,0.6,7.589574566,0.768180709,9.459238272,,3.281720921,0.93278629,
0.4,6,0.6,100,3,1,0.093953318,0.9999618,8.602832556,,3.283540008,0.932711755,
0.3,8,0.6,100,3,1,0.267516496,0.99969909,8.757995605,,3.290534905,0.932424763,
0.2,8,0.9,200,3,1,0.00247536,0.999999974,8.691535711,,3.291015867,0.932405007,
0.2,8,0.9,300,3,1,0.001304749,0.999999993,8.69167614,,3.291272546,0.932394463,
0.2,8,0.9,400,3,1,0.00119648,0.999999994,8.691785097,,3.291476319,0.932386091,
0.01,6,0.6,200,1,0.6,7.587477879,0.76830754,9.462493639,,3.295898372,0.932204292,
0.2,8,0.9,100,3,1,0.157495166,0.999898503,8.68753767,,3.29653557,0.932178076,
0.3,8,0.6,200,3,1,0.014211621,0.999998907,8.724871159,,3.298498685,0.932097275,
0.01,3,0.6,400,3,0.6,7.471316273,0.775727884,9.225990763,,3.300596905,0.932010859,
0.2,7,0.9,200,3,1,0.002708938,0.999999969,8.707352161,,3.302131196,0.931947635,
0.2,7,0.9,300,3,1,0.001311481,0.999999993,8.707876444,,3.302212357,0.93194429,
0.2,7,0.9,400,3,1,0.001192463,0.999999994,8.707988977,,3.302386328,0.931937119,
0.01,6,0.8,400,5,0.8,7.661866796,0.76459396,9.474171867,,3.303821851,0.931877933,
0.01,7,0.8,400,5,0.8,7.66182707,0.764596237,9.474675646,,3.303821851,0.931877933,
0.01,8,0.8,400,5,0.8,7.661827015,0.764596241,9.474675646,,3.303821851,0.931877933,
0.01,5,0.8,400,5,0.8,7.662275718,0.76456935,9.478369226,,3.304045471,0.931868711,
0.3,6,0.6,200,3,1,0.015352515,0.99999877,8.614949465,,3.305132393,0.931823878,
0.3,8,0.6,300,3,1,0.001837471,0.999999983,8.720619202,,3.30652202,0.931766537,
0.3,8,0.6,400,3,1,0.001127024,0.999999995,8.720406294,,3.306896812,0.931751068,
0.4,6,0.6,100,10,0.8,1.925678442,0.984988707,8.993777151,,3.307051835,0.931744669,
0.01,4,0.8,400,5,0.8,7.672204292,0.763958742,9.486427298,,3.308374637,0.931690054,
0.2,7,0.9,100,3,1,0.163547899,0.999889827,8.694728136,,3.308421821,0.931688106,
0.3,6,0.6,300,3,1,0.00189428,0.999999982,8.61365056,,3.314050258,0.931455477,
0.3,6,0.6,400,3,1,0.001151447,0.999999994,8.613427639,,3.314668944,0.931429883,
0.4,5,0.6,100,3,1,0.097679817,0.999958602,8.698504686,,3.320562136,0.931185842,
0.01,4,0.7,300,3,0.6,8.053263413,0.739651059,9.469511738,,3.324188868,0.931035442,
0.4,6,0.6,200,3,1,0.003321876,0.999999938,8.598109722,,3.324282225,0.931031568,
0.4,6,0.6,300,3,1,0.001096721,0.999999995,8.59741807,,3.326471454,0.930940699,
0.4,6,0.6,400,3,1,0.000980661,0.999999996,8.597403765,,3.326589435,0.9309358,
0.01,5,0.7,300,3,0.6,8.047047634,0.740056151,9.458819618,,3.337769792,0.930470784,
0.01,6,0.7,300,3,0.6,8.046982311,0.740060113,9.459112158,,3.338789244,0.930428305,
0.01,7,0.7,300,3,0.6,8.046982762,0.740060086,9.459105959,,3.338789244,0.930428305,
0.01,8,0.7,300,3,0.6,8.046982762,0.740060086,9.459105959,,3.338789244,0.930428305,
0.01,4,0.7,400,5,0.6,8.337993813,0.720979638,9.45611762,,3.339516663,0.930397986,
0.4,4,0.6,100,3,1,0.131296216,0.999923808,8.573263407,,3.348379426,0.930028062,
0.01,8,0.6,200,1,0.8,7.268945541,0.787563016,9.147583952,,3.348564298,0.930020335,
0.2,6,0.9,100,3,1,0.182736396,0.999860769,8.737708807,,3.348854195,0.930008218,
0.01,7,0.6,200,1,0.8,7.268731645,0.787576031,9.146180382,,3.349000377,0.930002107,
0.01,6,0.6,200,1,0.8,7.269131437,0.787553081,9.148795357,,3.353498733,0.929813939,
0.01,5,0.7,400,5,0.6,8.33496362,0.721184114,9.441566696,,3.353884325,0.929797798,
0.01,6,0.7,400,5,0.6,8.335178988,0.721169881,9.449689856,,3.354180055,0.929785417,
0.01,7,0.7,400,5,0.6,8.335179014,0.721169879,9.449691763,,3.354180055,0.929785417,
0.01,8,0.7,400,5,0.6,8.335179014,0.721169879,9.449691763,,3.354180055,0.929785417,
0.01,3,0.9,400,1,0.8,3.167049242,0.959517955,9.380618687,,3.357987169,0.929625935,
0.01,3,0.9,400,5,0.8,7.334366712,0.784172287,9.642232647,,3.360948059,0.929501776,
0.1,8,0.6,200,10,0.8,4.610980723,0.914364161,8.764346123,,3.361085005,0.929496031,
